func	unit	status	len_err	diffs	flags	needs_guard
func_8003771C	func_8003771C	OK	2	35	-G8 -mno-split-addresses	
func_800377AC	clear_field51_if_flag_zero	MATCH	0	0	-G8	
func_800377C8	func_800377C8	MATCH	0	0	-G8 -msplit-addresses	
func_8003787C	set_field81_bit80_call_39fd4	MATCH	0	0	-G8 -msplit-addresses	
func_800378D8	set_field81_bit80_gated	MATCH	0	0	-G8	
func_80037914	set_state6_and_field81_8	MATCH	0	0	-G8	
func_80037950	set_state4_and_field81_8	MATCH	0	0	-G8	
func_8003798C	clear_field81_if_flags_zero	MATCH	0	0	-G0 -mno-split-addresses	
func_800379C4	clear_field81_unless_result1	MATCH	0	0	-G8	
func_800379F8	set_field81_countdown_call_36d3c	MATCH	0	0	-G8 -msplit-addresses	
func_80037A58	func_80037A58	OK	0	15	-G8 -msplit-addresses	
func_80037C74	func_80037C74	STUB				
func_80037CE0	func_80037CE0	MATCH	0	0	-G8	
func_80037D2C	func_80037D2C	MATCH	0	0	-G8	
func_80037D6C	read_stream_byte_multi_to_field81	MATCH	0	0	-G8	
func_80038024	func_80038024	MATCH	0	0	-G8 -msplit-addresses	
func_80038070	call_80038024_with_flag	MATCH	0	0	-G8	
func_80038094	read_stream_byte_then_call	MATCH	0	0	-G8 -msplit-addresses	
func_800380D4	read_stream_signed_byte_multi_accumulate	MATCH	0	0	-G8	
func_80038110	read_stream_byte_multi_accumulate	MATCH	0	0	-G8	
func_80038148	func_80038148	MATCH	0	0	-G8 -msplit-addresses	
func_800382A8	obj_stream_read_speed_opcode	MATCH	0	0	-G8 -msplit-addresses	
func_80038334	func_80038334	MATCH	0	0	-G8 -msplit-addresses	
func_80038388	call_80036d3c_store_field56	MATCH	0	0	-G8	
func_800383B0	clear_field96_call_store_field97	MATCH	0	0	-G8	
func_800383DC	func_800383DC	MATCH	0	0	-G8 -msplit-addresses	
func_80038498	func_80038498	MATCH	0	0	-G8	
func_800384E4	read_stream_byte_set_bit12	MATCH	0	0	-G8 -msplit-addresses	
func_80038530	func_80038530	MATCH	0	0	-G0 -mno-split-addresses	
func_80038690	call_80036d3c_into_8003ff08	MATCH	0	0	-G8	
func_800386B8	func_800386B8	MATCH	0	0	-G8 -mno-split-addresses	
func_80038798	func_80038798	MATCH	0	0	-G8 -msplit-addresses	
func_80038800	func_80038800	MATCH	0	0	-G8 -msplit-addresses	
func_80038888	func_80038888	MATCH	0	0	-G8	
